num of threads,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,average time
1,1.4670956000000002,1.1701580000000003,1.0842565,1.1586204000000002,1.1317280000000007,1.2519358999999994,1.135700400000001,1.130371799999999,1.2674801000000002,1.0968979,1.1894244600000001
2,0.9459788000000007,0.9627344999999998,0.9645361000000001,0.9376130000000025,0.9582863999999987,0.9857571999999983,0.9781192999999995,0.9311347999999988,0.9348388000000014,0.9519689999999983,0.9550967899999998
3,0.878916499999999,0.8802219999999998,0.8588540999999985,0.8609702999999982,0.881814300000002,0.8769534000000014,0.8916798000000021,0.8677901999999982,0.8554476999999991,0.9344618999999987,0.8787110199999997
4,0.917171899999996,0.8176425999999992,0.8247573000000017,0.813264199999999,0.8225130999999948,0.821286200000003,0.8225212999999982,0.853230400000001,0.9157831999999999,0.8305186999999989,0.8438688899999992
5,0.803022999999996,0.7723967000000016,0.8021417,0.759550400000002,0.7843936000000014,0.770213499999997,0.7627099999999984,0.8009237999999996,0.7756849000000017,0.7623317000000043,0.7793369300000001
6,0.7659888999999964,0.7814712999999998,0.7528440000000032,0.9056524999999951,0.935831400000005,0.8736126999999954,0.7722636999999963,0.7496220999999963,0.7505766000000023,0.761841000000004,0.8049704199999994
7,0.7735116999999931,0.7293507000000048,0.7382717999999997,0.7419924000000009,0.7939270999999977,0.7661504000000008,0.7373031999999995,0.7534429999999972,0.7354833999999997,0.747212300000001,0.7516645999999995
8,0.7540485000000032,0.7377043000000043,0.7873304000000019,0.7318710999999922,0.7311580000000077,0.764066200000002,0.7344480000000004,0.7746056999999951,0.7245199999999983,0.730538199999998,0.7470290400000004
9,0.7355651000000023,0.7281895999999932,0.7133163000000025,0.7125110000000063,0.7192208000000022,0.7548764999999946,0.7579807999999986,0.7884894000000031,0.7289811000000128,0.7107835000000051,0.7349914100000021
10,0.7009645999999918,0.750169299999996,0.732011099999994,0.7057307000000037,0.7172919000000064,0.7138431000000054,0.7163279000000102,0.7325294999999983,0.7084562000000005,0.6977966999999978,0.7175121000000004
