num of threads,lowest time,highest time,average time,stdev time
1,0.0161744,0.0269497,0.0219978,0.004076541260267908
2,0.0137013,0.0253214,0.02111995,0.004373546439231109
3,0.0155387,0.0243216,0.01857597,0.003833087780845446
4,0.0158786,0.024535,0.01864652,0.003876092309644972
5,0.0160381,0.0246287,0.02033629,0.004131731093070366
6,0.0160935,0.0412888,0.02594559,0.007496428102392054
7,0.0155361,0.0259139,0.02112295,0.00409822656936984
8,0.0160431,0.0327738,0.02344861,0.004392728721535169
9,0.0239998,0.0245277,0.02424596,0.00020704521352700762
10,0.0160159,0.0315715,0.023643010000000002,0.004566075848508579
11,0.0237798,0.0293054,0.025049830000000002,0.0018260884091108205
12,0.0164564,0.0325978,0.026727610000000002,0.005358028023743645
13,0.0160143,0.0347468,0.028504980000000003,0.005927723505660124
14,0.0244388,0.0337456,0.03011446,0.0035105894225582377
15,0.0321862,0.0460522,0.03622896,0.004373923805717496
16,0.033132,0.0462977,0.038859649999999996,0.0042483875605928405
17,0.0263127,0.0414929,0.03327888,0.004094445026238462
18,0.0243403,0.0398916,0.03261691,0.004828949841540199
19,0.0161916,0.0412365,0.030338160000000003,0.006592554792289052
20,0.0248813,0.0412138,0.033471110000000005,0.004239430882782369
21,0.0244479,0.0406355,0.032306810000000005,0.005283160357094773
22,0.0322556,0.0486766,0.039869,0.005099453402081442
23,0.0323187,0.0488386,0.03910168000000001,0.005655029617920278
24,0.0319979,0.0486218,0.04151691,0.0063738848954934865
25,0.04099,0.0568363,0.04799124999999999,0.005168898407301115
26,0.0307603,0.0516654,0.039814459999999996,0.006834322324724099
27,0.0323975,0.0507386,0.043494090000000006,0.0058524949442191835
28,0.0338111,0.0529192,0.042068470000000004,0.005869747714065554
29,0.0328249,0.0490927,0.04301049,0.005537075564160402
30,0.0319852,0.0484741,0.0429689,0.005412152451659137
31,0.0367623,0.0650243,0.05164658999999999,0.01076325269954828
32,0.0325372,0.0689079,0.04749987,0.009925127242626832
33,0.0363683,0.051693,0.046332620000000005,0.005228656597763268
34,0.0404389,0.0561835,0.04832916,0.0052036540774942205
35,0.0425154,0.0640913,0.05162509999999999,0.006376935587464144
36,0.0403956,0.0560013,0.04817614,0.006030659124138551
37,0.0388539,0.0656514,0.05261677,0.0076609817373565845
38,0.0482127,0.058254,0.054128129999999997,0.004064569785912841
39,0.0486357,0.0654439,0.05543807999999999,0.006374400981321043
40,0.0483062,0.0805358,0.05795024,0.008360000705502364
41,0.0473846,0.0638345,0.05670578,0.004005156082351849
42,0.0484603,0.0625674,0.05625079000000001,0.0036179363468542233
43,0.0479272,0.0649993,0.055262620000000005,0.005128481307105771
44,0.039998,0.0657643,0.055656590000000006,0.008141596711326894
