num of threads,lowest time,highest time,average time,stdev time
1,0.0144781,0.0230077,0.016276350000000002,0.00247595620552276
2,0.0139866,0.0164665,0.014884239999999998,0.0008485699973746679
3,0.0125417,0.0195147,0.016055629999999998,0.002442472927201264
4,0.0129986,0.0226511,0.018266190000000005,0.0035424342310055664
5,0.0130025,0.0291157,0.01849037,0.004501024150136401
6,0.0129979,0.0160021,0.01457793,0.0010877855538764163
7,0.0119945,0.0160097,0.014038050000000002,0.0013288028047415048
8,0.012994,0.0166638,0.01462242,0.001294377203995119
9,0.0115203,0.0169973,0.01378618,0.0015541328277281262
10,0.0145435,0.0180017,0.015924189999999998,0.0011074562970559555
