num of threads,lowest time,highest time,average time,stdev time
1,0.0139912,0.0320528,0.016166579,0.0019649154514051505
2,0.0125338,0.0155083,0.013982594999999994,0.0006137135844285355
3,0.0119902,0.0170036,0.013237448999999997,0.0008412868276412191
4,0.011009,0.0155103,0.012686591000000004,0.0006399762408934263
5,0.0109872,0.0170011,0.012571723,0.0008191705266230462
6,0.0109915,0.0140024,0.012315495999999997,0.0005880422115886758
7,0.0109915,0.0141224,0.012157426,0.000557215317833495
8,0.0109908,0.0161036,0.012202837999999999,0.0009577016566696952
9,0.0105117,0.0139985,0.011740512000000002,0.0006183568660522332
10,0.0109828,0.0130048,0.011696740999999995,0.0005278510602787246
11,0.0100011,0.0163678,0.011411456999999998,0.0009813298827812153
12,0.0105281,0.0130583,0.011665089000000002,0.0006216624942414209
13,0.0099927,0.0120177,0.011200279000000002,0.0005353175640711131
14,0.0099906,0.0169168,0.011624092999999997,0.0009870957686137407
15,0.0100014,0.0139969,0.01132747,0.0005821298344367982
16,0.0100099,0.0120945,0.011384601,0.0005000603627189683
17,0.0099913,0.017001,0.011209623000000004,0.0008980386060468141
18,0.0099906,0.0125101,0.011185317999999994,0.0005220014751672334
19,0.0100814,0.0130011,0.011495856000000002,0.0005464266450755168
20,0.0099868,0.0150011,0.011079692000000004,0.000895896861136336
21,0.0095409,0.0120168,0.010943100000000004,0.0005423555332477437
22,0.0099897,0.0159894,0.011060101,0.0007498041386673097
23,0.0099996,0.0159999,0.011352554999999995,0.0009201917700192233
24,0.0099989,0.013002,0.011477623000000001,0.0005943205345169262
25,0.0089974,0.0120082,0.010470191000000002,0.0005830790462369626
26,0.0099876,0.0156949,0.010942951,0.0009875527631979975
27,0.0095091,0.0120084,0.010647575000000005,0.0005998641621276024
28,0.0099834,0.0129887,0.010809956,0.0006046285979663779
29,0.0099895,0.0159987,0.011125231,0.0008789249526914324
30,0.0099903,0.0120163,0.011153756999999995,0.0005127622219051744
31,0.0100019,0.0120151,0.011267301000000002,0.0004615373643442733
32,0.0100096,0.0162101,0.011551135000000004,0.0008980160033640715
33,0.0089913,0.0163761,0.010579967,0.0011012022361308552
34,0.0089921,0.0120045,0.010268778999999999,0.0005920119629720502
35,0.0089919,0.0115153,0.010335019999999997,0.0005498180538352959
36,0.0090007,0.0150004,0.010513124999999998,0.0008652854606189717
37,0.0089902,0.0120128,0.010473328000000002,0.0006563637380156053
38,0.0099836,0.0120631,0.010471175,0.0005400185210768801
39,0.0099842,0.0160016,0.010848768999999998,0.0010540081022147522
40,0.0099879,0.0147039,0.010953556999999997,0.000832392429578256
41,0.0099971,0.0125323,0.010872574999999997,0.0005379643616627331
42,0.009997,0.0153592,0.011067255000000005,0.000962909985028547
43,0.009534,0.0120051,0.010847956,0.0005226264941503433
44,0.0099873,0.0165084,0.011012642999999999,0.0007685974160315029
