num of threads,lowest time,highest time,average time,stdev time
1,0.0118414,0.0482297,0.02470015499999999,0.005858489337987062
2,0.0118666,0.0330532,0.020190834000000005,0.004296421834250243
3,0.0147659,0.0346537,0.02005475999999999,0.004465931605889734
4,0.0128658,0.0321572,0.019609175000000003,0.004267781288295152
5,0.0159203,0.0515048,0.022863041,0.005918831010710859
6,0.0155365,0.0423902,0.023442268999999998,0.005210353052903227
7,0.0146552,0.0321793,0.022708700999999998,0.004162361762329656
8,0.0160154,0.0423833,0.02854115,0.005169477182823943
9,0.0157128,0.0344679,0.026533467999999994,0.004146750390046343
10,0.015533,0.0443976,0.028162765000000003,0.005170549136426127
11,0.0162058,0.0404303,0.028194873999999998,0.005156021900193672
12,0.0160141,0.0566824,0.028555208,0.006472355211760869
13,0.0160164,0.0522914,0.032013347,0.006723389908258761
14,0.0238295,0.0420423,0.03135949200000001,0.004959589921661514
15,0.0222208,0.0414973,0.033351044999999996,0.004160092014215843
16,0.0168167,0.0492448,0.03603047300000001,0.005737384110505925
17,0.0235597,0.053557,0.03765262799999999,0.005995782335101497
18,0.0239,0.0566051,0.038012158,0.007121981600666937
19,0.0239969,0.0491415,0.036978914,0.00568289844816228
20,0.0251406,0.0574469,0.040156405999999985,0.006531068232745063
21,0.0239938,0.0548586,0.039456473,0.006014609522172918
22,0.0240082,0.0530497,0.038972341,0.0054608144686326115
23,0.0240009,0.064742,0.04033683,0.006956282509750056
24,0.0250851,0.0522,0.04231835500000001,0.0053864576887413685
25,0.0288348,0.0549945,0.04203096200000001,0.005359668476438565
26,0.0226068,0.0570567,0.042887559,0.006843015634909448
27,0.0225228,0.0570874,0.04081810399999999,0.0067623796531784
28,0.0308494,0.0644934,0.043859102,0.006683824440385531
29,0.0240064,0.063658,0.04347416,0.00630686205669842
30,0.0319912,0.0575746,0.043788548000000004,0.005478454066032892
31,0.0242513,0.059514,0.04421294700000001,0.005893878816666191
32,0.0240443,0.0732578,0.04770491999999997,0.007230124545499499
33,0.0296902,0.0639084,0.04641033999999999,0.006452215937774926
34,0.0320121,0.0651361,0.048944536000000004,0.006649563502899642
35,0.0387395,0.0747587,0.049627546999999994,0.005468108298814743
36,0.0326791,0.0964895,0.04992679500000001,0.007562082935802446
37,0.0400334,0.0678957,0.05209561000000003,0.005123124793482583
38,0.0402754,0.0695251,0.05399513799999998,0.005571512210166676
39,0.0426329,0.0646279,0.05415544599999999,0.004559784041612657
40,0.0400006,0.0888879,0.05641154700000002,0.0065940868460020435
41,0.0458929,0.07362,0.05548606899999999,0.005560405944044433
42,0.0469357,0.0891776,0.05622687800000002,0.005861251144448512
43,0.0456132,0.0692659,0.05620264900000001,0.00471917824462527
44,0.0478396,0.0856571,0.05924172499999998,0.00538511203628189
