num of threads,lowest time,highest time,average time,stdev time
1,0.0290047,0.0449997,0.031509975999999995,0.001944781965817684
2,0.0270004,0.0310015,0.028871969999999997,0.0008431407324085728
3,0.0259951,0.0309993,0.027342808999999996,0.0008994314700476746
4,0.0259926,0.031521,0.02702680300000001,0.0011199897975234265
5,0.024995,0.0300003,0.026573326000000005,0.0008936265699887727
6,0.0249923,0.0355185,0.026640804000000004,0.0015505760233623705
7,0.0249965,0.031007,0.02630304000000001,0.0011371256313240596
8,0.0239972,0.030013,0.026047170000000005,0.0010891089160456364
9,0.0239996,0.0345144,0.02567767499999999,0.0013884703755983206
10,0.0239985,0.0309971,0.02542355899999999,0.0009118622854883075
11,0.0235078,0.0350131,0.02528460000000001,0.0013793495631542199
12,0.0239979,0.0299998,0.025670382000000005,0.000937300794553545
13,0.0229969,0.034538,0.025412005999999994,0.00160556655860324
14,0.0240008,0.0305146,0.02576871299999999,0.0010401143321629152
15,0.0230997,0.0295243,0.025335132999999996,0.0009576822959682981
16,0.023998,0.0345425,0.02557125,0.0013672776288093152
17,0.0229992,0.0295095,0.024792848999999995,0.0009792595171445523
18,0.0230017,0.0355289,0.025172697000000008,0.0014757095416114347
19,0.0239968,0.0290012,0.025503748999999996,0.0009637894082912221
20,0.022995,0.0281768,0.024356161000000008,0.0008061512528074557
21,0.0229939,0.0325227,0.024748881000000007,0.0013361522646322232
22,0.0230089,0.0295151,0.024961228,0.0009960011966119945
23,0.0235122,0.0300034,0.025383205,0.0011324621164199105
24,0.0239984,0.0370058,0.025614306000000003,0.001504317913747025
25,0.0219979,0.0279985,0.024080869999999997,0.0010904928810108545
26,0.0229968,0.0309997,0.024399161000000006,0.001348418372034212
27,0.0230013,0.0289999,0.024483057000000003,0.0009430732244731486
28,0.0229982,0.0279978,0.024632015000000004,0.0009074813435904048
29,0.0230014,0.0340142,0.024928808,0.0013438680068121771
30,0.0229964,0.0300021,0.024952975,0.0010987048680817177
31,0.0239967,0.035,0.025497316000000003,0.0014078575297898077
32,0.0239901,0.0295181,0.025266667000000007,0.0008719924581565015
33,0.0219904,0.028527,0.023297207000000007,0.0008177385809157971
34,0.02151,0.0325292,0.023635501,0.0015360701053613564
35,0.0219956,0.0270066,0.02341158599999999,0.0009528828838357159
36,0.0219957,0.0349964,0.02427432600000001,0.002129779308603963
37,0.022995,0.027525,0.023963524,0.0007100033800061813
38,0.0219985,0.033003,0.024331696000000007,0.0013596157868540014
39,0.0227242,0.0285175,0.024188260000000007,0.0008663537496865583
40,0.0225326,0.0290823,0.024211980999999994,0.0008436314038695747
41,0.0225165,0.0350039,0.024926084999999997,0.0018500100977816146
42,0.0229995,0.0389971,0.024997946000000014,0.002092019478172836
43,0.0229977,0.0329976,0.02494509399999999,0.001197828786758725
44,0.0229993,0.0280034,0.024828690999999993,0.0007896801917686155
