num of threads,lowest time,highest time,average time,stdev time
1,0.0110004,0.0231478,0.014917672999999998,0.002225143654236937
2,0.0114068,0.0254719,0.014941949000000005,0.0020736606136260677
3,0.0109981,0.0190712,0.014130875000000001,0.0012958696697136785
4,0.0120016,0.0255192,0.014746730999999996,0.001879458513234247
5,0.012023,0.0213929,0.015472612000000005,0.0019251775893567888
6,0.0119918,0.0199746,0.015283287999999999,0.0015982282037837077
7,0.0119913,0.0230015,0.015113047999999995,0.0020139283712037512
8,0.0123344,0.0210005,0.015566484999999994,0.0015717182799054317
9,0.012161,0.0249992,0.015388373999999991,0.0019447247692164667
10,0.0125345,0.0190103,0.015635749000000004,0.0013834969736358645
11,0.0119868,0.0250041,0.015289500000000004,0.002168346475258896
12,0.0119971,0.0255205,0.016309797999999993,0.0025706173679330793
13,0.0129907,0.0250031,0.017008986000000004,0.0025249440132214876
14,0.0120008,0.0256988,0.016089442000000002,0.0026667570706334943
15,0.0119997,0.0250629,0.016210273000000008,0.002406173997959324
16,0.0129455,0.0210016,0.01658669,0.0017081559116441474
17,0.0119993,0.0235263,0.01570436599999999,0.0019306807231103487
18,0.0129943,0.024036,0.016249397000000002,0.00168894009644654
19,0.0129915,0.0314217,0.01616540600000001,0.002417211066365032
20,0.0129913,0.0249989,0.016448252000000003,0.0019942886071940137
21,0.0130129,0.0237562,0.016978557999999998,0.00234023973239642
22,0.0131263,0.028139,0.016698070999999995,0.0021208314902793684
23,0.0125113,0.0240042,0.01590710699999999,0.001997980564725596
24,0.0121907,0.0253939,0.016532140999999997,0.002441089113452676
25,0.0129977,0.0339985,0.017842343000000004,0.003974335561068128
26,0.013407,0.0251446,0.018139604999999993,0.002655029064969597
27,0.0139885,0.0261336,0.016933691000000008,0.0020684206624835503
28,0.0139883,0.0275286,0.017583919999999992,0.0023490392876985935
29,0.0133766,0.0220084,0.016987046999999995,0.001718086406997652
30,0.0129943,0.032068,0.019371606999999992,0.003672356830064889
31,0.0130047,0.0244689,0.017412573,0.0022486401609653024
32,0.0149886,0.0320031,0.018644889999999997,0.0035050443207474626
33,0.0140116,0.0249964,0.017562955999999998,0.002084032860174443
34,0.0129961,0.0251493,0.017790243000000004,0.002186582729230405
35,0.0152535,0.0291292,0.019412163,0.00259991428656909
36,0.0140078,0.0399099,0.018884034000000004,0.0034565955223156974
37,0.0143914,0.0260766,0.018182443,0.0022316016005747706
38,0.0145275,0.0251246,0.018106270999999997,0.0021806626202354
39,0.014179,0.0274186,0.018546518,0.0022323967203990614
40,0.0145424,0.0293021,0.018617187,0.002384161534111811
41,0.0140176,0.027965,0.018785338999999995,0.0027734202651692576
42,0.0147753,0.031625,0.020124986,0.003954158171859701
43,0.0149969,0.0330032,0.018782405000000005,0.0025974773752283644
44,0.0150027,0.0270076,0.019347630999999997,0.0027627597115157786
