num of threads,lowest time,highest time,average time,stdev time
1,0.0100006,0.025404,0.015790246999999993,0.0032498190261797968
2,0.0105266,0.0229243,0.014594893999999999,0.002334211678309308
3,0.0109942,0.0177134,0.014022173999999993,0.0016066953337452586
4,0.0112046,0.0269862,0.014525707999999997,0.0022587910466576153
5,0.0110013,0.0189808,0.014095556999999996,0.0015938599740313425
6,0.0100122,0.0224629,0.015106076000000003,0.0021579124757866238
7,0.011992,0.0219434,0.014971921000000004,0.0019014286067386918
8,0.0109966,0.0280498,0.015272706999999998,0.002480146680749208
9,0.0120045,0.0268207,0.015365272999999999,0.002479329903028541
10,0.0119843,0.0192698,0.015007486,0.0015179708100639025
