num of threads,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,average time
1,0.07231,0.03222,0.0301,0.03149,0.0342,0.02732,0.02891,0.03514,0.03613,0.02693,0.03547523999999995
2,0.02826,0.02612,0.02447,0.02424,0.02474,0.02761,0.02329,0.02928,0.02394,0.02839,0.026035849999999926
3,0.02628,0.02062,0.02448,0.02431,0.02438,0.02552,0.02486,0.02222,0.02096,0.02303,0.023667069999999967
4,0.02056,0.02606,0.02222,0.01961,0.02553,0.0225,0.0221,0.02685,0.03228,0.02977,0.024747739999999928
5,0.02973,0.02481,0.02705,0.02383,0.02435,0.02559,0.02733,0.02658,0.02966,0.02717,0.02660946000000002
6,0.02509,0.02532,0.02735,0.02434,0.0296,0.02885,0.02514,0.02278,0.02424,0.02556,0.02582757999999994
7,0.02373,0.02885,0.02327,0.02587,0.02585,0.03975,0.04825,0.02824,0.02642,0.02635,0.029658920000000054
8,0.02383,0.02172,0.02467,0.02363,0.02214,0.02286,0.02395,0.02481,0.02568,0.02492,0.023821299999999955
9,0.02507,0.02786,0.02759,0.02591,0.02544,0.02102,0.02405,0.02032,0.02536,0.03232,0.02549342999999995
10,0.02837,0.02925,0.03058,0.02886,0.02331,0.03207,0.01972,0.03035,0.02723,0.02387,0.027360089999999903
11,0.02823,0.02059,0.02152,0.02051,0.01963,0.01994,0.02825,0.02682,0.02476,0.0223,0.02325437999999993
12,0.02757,0.02651,0.02532,0.03065,0.02869,0.02778,0.02654,0.02286,0.02075,0.02947,0.026614490000000046
13,0.02534,0.02503,0.0217,0.02296,0.02443,0.02145,0.02055,0.02512,0.02317,0.02544,0.0235183499999998
14,0.02503,0.02728,0.02551,0.02332,0.02505,0.02624,0.02572,0.02186,0.02626,0.02416,0.025044040000000045
15,0.02041,0.02216,0.02101,0.02629,0.02256,0.02053,0.02114,0.02235,0.02162,0.02425,0.02223287999999988
16,0.02312,0.02383,0.02219,0.02245,0.02429,0.01974,0.02041,0.02775,0.02284,0.02421,0.02308365999999982
17,0.02255,0.02621,0.02585,0.01934,0.02077,0.02158,0.02122,0.0219,0.02008,0.02087,0.02203506000000006
18,0.02554,0.02097,0.01941,0.02023,0.02265,0.01992,0.01971,0.0212,0.02215,0.02054,0.02123331999999998
19,0.01883,0.01827,0.02447,0.01969,0.02337,0.02317,0.02662,0.0226,0.02119,0.02157,0.021977280000000033
20,0.02161,0.01941,0.01927,0.01902,0.01937,0.02165,0.02072,0.02429,0.01938,0.02344,0.02081691999999995
