num of threads,time 1,time 2,time 3,time 4,time 5,average time
1,0.03481,0.02807,0.02625,0.03154,0.03492,0.031117119999999998
2,0.02794,0.02502,0.03071,0.0323,0.02998,0.029190579999999945
3,0.02371,0.02489,0.02905,0.03039,0.02415,0.026437160000000005
4,0.02754,0.02965,0.02683,0.02337,0.02437,0.026350879999999945
5,0.02186,0.0213,0.02054,0.02558,0.02396,0.02264694000000005
6,0.02601,0.02134,0.02163,0.02392,0.02746,0.024070639999999966
7,0.02442,0.02102,0.02615,0.02116,0.0218,0.022908600000000057
8,0.0229,0.02122,0.02152,0.02504,0.03017,0.02417042000000009
9,0.02365,0.02546,0.02776,0.03495,0.03122,0.028607799999999895
10,0.02666,0.02481,0.02781,0.02542,0.02399,0.02573693999999991
